reset,resolution,x,y,z
805,4,48427,25083,50942
505,9,59179,25083,43518
206,6,52011,25083,19710
006,13,25899,25083,51454
a07,8,56107,25083,55550
308,5,33323,25340,509
508,11,50219,25339,43004
d08,13,15659,25339,30972
207,2,27947,25339,25597
006,13,31787,25339,47613
206,2,43563,25339,49406
606,3,32043,25340,2302
506,5,26923,25340,16894
b06,1,8491,25340,36094
906,3,30251,25340,24318
f06,8,25643,25340,26110
206,9,29483,25340,15870
c06,9,28971,25340,39422
a06,6,26667,25340,46078
f06,10,31275,25340,43262
306,12,14123,25340,45054
506,11,17195,25340,16894
a06,15,2603,25340,45054
406,3,19755,25341,32511
e07,12,6955,25341,40958
d07,6,1835,25597,510
506,0,24107,25596,62463
806,10,53035,25596,51967
c05,5,11051,25597,11007
105,0,59691,25597,28159
606,0,46379,25597,6655
306,5,43,25597,17151
706,3,13099,25596,54783
306,1,33835,25597,12032
506,2,55339,25597,22785
306,6,31019,25597,26368
907,4,60715,25597,52992
407,3,20523,25598,26623
807,1,51499,25598,51199
306,1,14891,25598,30463
c06,10,36651,25597,60670
d06,11,45867,25597,61694
407,11,52523,25597,59133
b06,2,31275,25596,62718
006,14,39211,25596,29181
a05,12,10027,25596,17917
b05,7,63019,25851,64254
d05,11,46891,25851,50174
306,10,53291,25851,18431
706,11,4907,25850,17151
306,14,43563,25850,23552
d06,2,42539,25850,37121
d06,12,2859,25850,26625
c06,8,16939,25850,4097
608,14,31787,25850,59905
907,2,811,25852,55809
907,7,62251,25853,56065
e06,6,56363,25855,1536
a06,1,48939,25854,1280
807,15,37163,25853,28926
406,9,811,25853,50942
f05,14,29739,25852,23038
005,12,34603,25852,16382
305,15,54827,25852,26110
006,6,61483,25851,37631
406,7,1067,25851,20480
706,12,29227,26108,12032
106,7,57899,26108,52993
c06,4,53035,26108,61697
906,12,17963,26109,39680
d06,7,15659,26110,12544
b06,14,48427,26109,18431
b07,15,59691,26107,44288
a06,15,12843,26108,26625
605,8,59691,26109,32515
a04,1,50731,26110,15364
104,0,15403,26111,37635
d05,7,12075,26111,40191
805,10,8491,26110,25085
905,0,23083,26109,30716
105,3,47403,26107,60412
a06,5,63275,26107,19453
106,15,3115,26106,54269
306,5,12587,26108,38142
504,2,35115,26107,16641
a02,4,63531,26105,26372
402,14,25899,26106,15363
203,14,50475,26362,16129
503,7,30507,26361,33025
803,7,22315,26361,14593
404,2,48171,26362,40706
905,1,54059,26364,5633
e05,0,43307,26364,28160
405,1,30507,26364,3327
405,3,23851,26364,14078
905,7,42795,26364,46845
905,13,41003,26364,58877
e06,15,45355,26364,38141
607,12,33835,26364,58877
b08,9,46123,26364,50173
208,13,27691,26364,41981
a07,3,20267,26364,27134
